Parlamentar_Limpo;codigo_emenda;numero_emenda;tipo_emenda;tipo_transferencia;localidade_aplicacao;tipo_localidade_aplicacao;municipio;municipio_normalizado;uf_localidade;valor_pago;programa_orcamentario;acao_orcamentaria;plano_orcamentario;funcao_area_atuacao;subfuncao_area_atuacao;modalidade_despesa;documento;favorecido;status_reconciliacao;ajuste_negativo;valor_zero
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;SÃO VALENTIM DO SUL - RS;Municipal;SÃO VALENTIM DO SUL;SAO VALENTIM DO SUL;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB009288;92.902.055/0001-05 - MUNICIPIO DE SAO VALENTIM DO SUL;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;CENTENÁRIO - RS;Municipal;CENTENÁRIO;CENTENARIO;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB009290;93.539.138/0001-44 - MUNICIPIO DE CENTENARIO;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;UNIÃO DA SERRA - RS;Municipal;UNIÃO DA SERRA;UNIAO DA SERRA;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB009292;92.902.154/0001-97 - MUNICIPIO DE UNIAO DA SERRA;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610006;0006;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;RIO GRANDE DO SUL (UF);Estadual/UF;;;RS;196000.0;5126 - ESPORTE PARA A VIDA;20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL;0000 - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS;27 - Desporto e lazer;812 - Desporto comunitário;50 - Transferências a Instituições Privadas sem Fins Lucrativos;180073000012026OB000049;12.149.188/0001-13 - ASSOCIACAO DE DESENVOLVIMENTO SOCIAL DO RIO GRANDE DO SUL;Bate com Valor Pago + RP Pagos geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610006;0006;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;RIO GRANDE DO SUL (UF);Estadual/UF;;;RS;196000.0;5126 - ESPORTE PARA A VIDA;20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL;0000 - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS;27 - Desporto e lazer;812 - Desporto comunitário;50 - Transferências a Instituições Privadas sem Fins Lucrativos;180073000012026OB000128;10.970.548/0001-18 - ASSOCIACAO ATLETICA MACLERES;Bate com Valor Pago + RP Pagos geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610006;0006;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;RIO GRANDE DO SUL (UF);Estadual/UF;;;RS;195999.96;5126 - ESPORTE PARA A VIDA;20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL;0000 - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS;27 - Desporto e lazer;812 - Desporto comunitário;50 - Transferências a Instituições Privadas sem Fins Lucrativos;180073000012026OB000007;11.051.101/0001-08 - ASSOCIACAO DOS PAIS E AMIGOS DO VOLEIBOL - APAV;Bate com Valor Pago + RP Pagos geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610006;0006;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;RIO GRANDE DO SUL (UF);Estadual/UF;;;RS;195920.0;5126 - ESPORTE PARA A VIDA;20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL;0000 - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS;27 - Desporto e lazer;812 - Desporto comunitário;50 - Transferências a Instituições Privadas sem Fins Lucrativos;180073000012026OB000012;91.587.857/0001-05 - FEDERACAO GAUCHA DE TAEKWON-DO;Bate com Valor Pago + RP Pagos geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610006;0006;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;RIO GRANDE DO SUL (UF);Estadual/UF;;;RS;195913.58;5126 - ESPORTE PARA A VIDA;20JP - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL;0000 - DESENVOLVIMENTO DE ATIVIDADES E APOIO A PROGRAMAS, EVENTOS E PROJETOS DE ESPORTE AMADOR, EDUCACAO, LAZER E INCLUSAO SOCIAL - DESPESAS DIVERSAS;27 - Desporto e lazer;812 - Desporto comunitário;50 - Transferências a Instituições Privadas sem Fins Lucrativos;180073000012026OB000018;89.270.888/0001-96 - FEDERACAO GAUCHA DE JUDO;Bate com Valor Pago + RP Pagos geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610001;0001;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;SEVERIANO DE ALMEIDA - RS;Municipal;SEVERIANO DE ALMEIDA;SEVERIANO DE ALMEIDA;RS;180000.0;5119 - ATENCAO PRIMARIA A SAUDE;2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;0000 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;10 - Saúde;301 - Atenção básica;41 - Transferências a Municípios - Fundo a Fundo;257001000012025OB052222;11.461.978/0001-77 - FUNDO MUNICIPAL DE SAUDE-SEVERIANO DE ALMEIDA;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610005;0005;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;TRÊS PASSOS - RS;Municipal;TRÊS PASSOS;TRES PASSOS;RS;150000.0;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;41 - Transferências a Municípios - Fundo a Fundo;330013000012025OB006918;14.741.197/0001-24 - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL TRES PASSOS;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610001;0001;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;NOVA PETRÓPOLIS - RS;Municipal;NOVA PETRÓPOLIS;NOVA PETROPOLIS;RS;150000.0;5119 - ATENCAO PRIMARIA A SAUDE;2E89 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;0000 - INCREMENTO TEMPORARIO AO CUSTEIO DOS SERVICOS DE ATENCAO PRIMARIA A SAUDE PARA CUMPRIMENTO DE METAS;10 - Saúde;301 - Atenção básica;41 - Transferências a Municípios - Fundo a Fundo;257001000012025OB031725;11.898.805/0001-10 - FUNDO MUNICIPAL DE SAUDE DE NOVA PETROPOLIS;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610003;0003;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;CHUÍ - RS;Municipal;CHUÍ;CHUI;RS;145352.0;5119 - ATENCAO PRIMARIA A SAUDE;8581 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE;0000 - ESTRUTURACAO DA REDE DE SERVICOS DE ATENCAO PRIMARIA A SAUDE - DESPESAS DIVERSAS;10 - Saúde;301 - Atenção básica;41 - Transferências a Municípios - Fundo a Fundo;257001000012025OB033391;11.589.184/0001-93 - FUNDO MUNICIPAL DE SAUDE;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610005;0005;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;BARÃO DE COTEGIPE - RS;Municipal;BARÃO DE COTEGIPE;BARAO DE COTEGIPE;RS;104400.0;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;41 - Transferências a Municípios - Fundo a Fundo;330013000012025OB006928;13.891.538/0001-85 - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL - FMAS - BARAO DE COTEGIPE;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610005;0005;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;SERAFINA CORRÊA - RS;Municipal;SERAFINA CORRÊA;SERAFINA CORREA;RS;100000.0;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;41 - Transferências a Municípios - Fundo a Fundo;330013000012025OB006094;14.391.839/0001-02 - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610005;0005;Emenda Individual - Transferências com Finalidade Definida;Transferência com Finalidade Definida;SANTA ROSA - RS;Municipal;SANTA ROSA;SANTA ROSA;RS;100000.0;5131 - PROTECAO SOCIAL PELO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);219G - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS);0000 - ESTRUTURACAO DA REDE DE SERVICOS E FORTALECIMENTO DA GESTAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS) - DESPESAS DIVERSAS;08 - Assistência social;245 - SERVICOS SOCIOASSISTENCIAIS;41 - Transferências a Municípios - Fundo a Fundo;330013000012025OB006924;14.298.609/0001-01 - FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;Bate com Valor Pago geral;False;False
